id,dailyconfirmed,dailydeceased,dailyrecovered,date,dateymd,totalconfirmed,totaldeceased,totalrecovered
361,13232,131,13148,24 January 2021,2021-01-24,10668598,152917,10329077
362,9098,116,16092,25 January 2021,2021-01-25,10677696,153033,10345169
363,12733,138,13250,26 January 2021,2021-01-26,10690429,153171,10358419
364,11556,123,14261,27 January 2021,2021-01-27,10701985,153294,10372680
365,18912,162,20315,28 January 2021,2021-01-28,10720897,153456,10392995
366,13054,137,14886,29 January 2021,2021-01-29,10733951,153593,10407881
367,13073,128,14077,30 January 2021,2021-01-30,10747024,153721,10421958
368,11527,116,11882,31 January 2021,2021-01-31,10758551,153837,10433840
369,8579,94,13443,1 February 2021,2021-02-01,10767130,153931,10447283
370,11001,113,14250,2 February 2021,2021-02-02,10778131,154044,10461533
371,12925,107,17813,3 February 2021,2021-02-03,10791056,154151,10479346
372,12401,120,15788,4 February 2021,2021-02-04,10803457,154271,10495134
373,11711,95,14512,5 February 2021,2021-02-05,10815168,154366,10509646
374,12069,75,11761,6 February 2021,2021-02-06,10827237,154441,10521407
375,11786,86,11756,7 February 2021,2021-02-07,10839023,154527,10533163
376,8715,78,13600,8 February 2021,2021-02-08,10847738,154605,10546763
377,10731,94,12928,9 February 2021,2021-02-09,10858469,154699,10559691
378,12539,110,11796,10 February 2021,2021-02-10,10871008,154809,10571487
379,9353,85,15722,11 February 2021,2021-02-11,10880361,154894,10587209
380,12137,104,11358,12 February 2021,2021-02-12,10892498,154998,10598567
381,12198,89,11107,13 February 2021,2021-02-13,10904696,155087,10609674
382,11706,91,9500,14 February 2021,2021-02-14,10916402,155178,10619174
383,9086,82,11793,15 February 2021,2021-02-15,10925488,155260,10630967
384,11592,99,11836,16 February 2021,2021-02-16,10937080,155359,10642803
385,12862,100,12028,17 February 2021,2021-02-17,10949942,155459,10654831
386,13237,100,10914,18 February 2021,2021-02-18,10963179,155559,10665745
387,13916,100,10214,19 February 2021,2021-02-19,10977095,155659,10675959
388,13919,89,11413,20 February 2021,2021-02-20,10991014,155748,10687372
389,14278,83,9715,21 February 2021,2021-02-21,11005292,155831,10697087
390,10494,76,13233,22 February 2021,2021-02-22,11015786,155907,10710320
391,13682,103,13969,23 February 2021,2021-02-23,11029468,156010,10724289
392,16930,141,12100,24 February 2021,2021-02-24,11046398,156151,10736389
393,16599,119,12222,25 February 2021,2021-02-25,11062997,156270,10748611
394,16562,114,12790,26 February 2021,2021-02-26,11079559,156384,10761401
395,16805,111,11709,27 February 2021,2021-02-27,11096364,156495,10773110
396,15614,108,11291,28 February 2021,2021-02-28,11111978,156603,10784401
397,12270,92,12472,1 March 2021,2021-03-01,11124248,156695,10796873
398,14998,98,13113,2 March 2021,2021-03-02,11139246,156793,10809986
399,17425,87,14071,3 March 2021,2021-03-03,11156671,156880,10824057
400,16824,113,13788,4 March 2021,2021-03-04,11173495,156993,10837845
401,18324,109,14186,5 March 2021,2021-03-05,11191819,157102,10852031
402,18724,100,14379,6 March 2021,2021-03-06,11210543,157202,10866410
403,18650,97,14303,7 March 2021,2021-03-07,11229193,157299,10880713
404,15353,76,16606,8 March 2021,2021-03-08,11244546,157375,10897319
405,17873,133,20643,9 March 2021,2021-03-09,11262419,157508,10917962
406,22851,125,18154,10 March 2021,2021-03-10,11285270,157633,10936116
407,23298,119,15092,11 March 2021,2021-03-11,11308568,157752,10951208
408,24845,140,19972,12 March 2021,2021-03-12,11333413,157892,10971180
409,25154,159,16508,13 March 2021,2021-03-13,11358567,158051,10987688
410,26513,120,17590,14 March 2021,2021-03-14,11385080,158171,11005278
411,24437,130,20186,15 March 2021,2021-03-15,11409517,158301,11025464
